Time,ID,Position,Load
0:00:00.148404,1,2683,0.0
0:00:00.148404,2,2628,0.0
0:00:00.148404,3,2206,0.0
0:00:00.148404,4,2695,0.0
0:00:00.148404,5,2670,0.0
0:00:00.148404,6,2674,0.0
0:00:01.002913,1,2683,0.0
0:00:01.002913,2,2628,0.0
0:00:01.002913,3,2206,0.0
0:00:01.002913,4,2695,0.0
0:00:01.002913,5,2670,0.0
0:00:01.002913,6,2674,0.0
0:00:01.833299,1,2683,0.0
0:00:01.833299,2,2628,0.0
0:00:01.833299,3,2206,0.0
0:00:01.833299,4,2695,0.0
0:00:01.833299,5,2670,0.0
0:00:01.833299,6,2674,0.0
0:00:02.663807,1,2683,0.0
0:00:02.663807,2,2628,0.0
0:00:02.663807,3,2206,0.0
0:00:02.663807,4,2695,0.0
0:00:02.663807,5,2670,0.0
0:00:02.663807,6,2674,0.0
0:00:03.493330,1,2683,0.0
0:00:03.493330,2,2628,0.0
0:00:03.493330,3,2206,0.0
0:00:03.493330,4,2695,0.0
0:00:03.493330,5,2670,0.0
0:00:03.493330,6,2674,0.0
0:00:04.333711,1,2683,0.0
0:00:04.333711,2,2628,0.0
0:00:04.333711,3,2206,0.0
0:00:04.333711,4,2695,0.0
0:00:04.333711,5,2670,0.0
0:00:04.333711,6,2674,0.0
0:00:05.442579,1,2139,0.060301
0:00:05.442579,2,2170,0.380061
0:00:05.442579,3,2147,0.069437
0:00:05.442579,4,2165,0.325245
0:00:05.442579,5,2191,0.590189
0:00:05.442579,6,2181,0.471421
0:00:05.925330,1,2140,0.074005
0:00:05.925330,2,2170,0.41660499999999995
0:00:05.925330,3,2147,0.069437
0:00:05.925330,4,2165,0.28413299999999997
0:00:05.925330,5,2191,0.654141
0:00:05.925330,6,2180,0.517101
0:00:06.415243,1,2141,0.074005
0:00:06.415243,2,2170,0.44858099999999995
0:00:06.415243,3,2147,0.08314099999999999
0:00:06.415243,4,2165,0.384629
0:00:06.415243,5,2191,0.7317969999999999
0:00:06.415243,6,2180,0.562781
0:00:06.894434,1,2141,0.09227699999999998
0:00:06.894434,2,2170,0.485125
0:00:06.894434,3,2147,0.08770900000000001
0:00:06.894434,4,2166,0.398333
0:00:06.894434,5,2191,0.7911809999999999
0:00:06.894434,6,2180,0.5810529999999999
0:00:07.379494,1,2141,0.110549
0:00:07.379494,2,2170,0.517101
0:00:07.379494,3,2147,0.09227699999999998
0:00:07.379494,4,2166,0.439445
0:00:07.379494,5,2191,0.8597009999999999
0:00:07.379494,6,2181,0.6495729999999998
0:00:07.866804,1,2143,0.10598099999999999
0:00:07.866804,2,2170,0.549077
0:00:07.866804,3,2147,0.096845
0:00:07.866804,4,2165,0.444013
0:00:07.866804,5,2191,0.923653
0:00:07.866804,6,2180,0.7592049999999999
0:00:08.377427,1,2144,0.10598099999999999
0:00:08.377427,2,2170,0.5810529999999999
0:00:08.377427,3,2148,0.09227699999999998
0:00:08.377427,4,2165,0.49426099999999995
0:00:08.377427,5,2191,1.0013089999999998
0:00:08.377427,6,2180,0.7774769999999999
0:00:08.868613,1,2145,0.10598099999999999
0:00:08.868613,2,2170,0.622165
0:00:08.868613,3,2148,0.09227699999999998
0:00:08.868613,4,2165,0.5399409999999999
0:00:08.868613,5,2191,1.065261
0:00:08.868613,6,2180,0.8322929999999998
0:00:09.352866,1,2145,0.115117
0:00:09.352866,2,2170,0.654141
0:00:09.352866,3,2148,0.101413
0:00:09.352866,4,2166,0.590189
0:00:09.352866,5,2191,1.129213
0:00:09.352866,6,2180,0.9921729999999999
0:00:09.845418,1,2145,0.12425299999999999
0:00:09.845418,2,2170,0.686117
0:00:09.845418,3,2148,0.101413
0:00:09.845418,4,2166,0.5810529999999999
0:00:09.845418,5,2191,1.2114369999999999
0:00:09.845418,6,2180,0.9053809999999999
0:00:10.338693,1,2145,0.13338899999999998
0:00:10.338693,2,2170,0.722661
0:00:10.338693,3,2148,0.101413
0:00:10.338693,4,2165,0.6952529999999999
0:00:10.338693,5,2191,1.2662529999999999
0:00:10.338693,6,2180,0.9510609999999999
0:00:10.816598,1,2147,0.119685
0:00:10.816598,2,2170,0.750069
0:00:10.816598,3,2148,0.07857299999999999
0:00:10.816598,4,2166,0.562781
0:00:10.816598,5,2191,1.3302049999999999
0:00:10.816598,6,2181,1.0195809999999998
0:00:11.309870,1,2147,0.128821
0:00:11.309870,2,2170,0.7866129999999999
0:00:11.309870,3,2148,0.08314099999999999
0:00:11.309870,4,2166,0.654141
0:00:11.309870,5,2191,1.412429
0:00:11.309870,6,2180,1.0835329999999999
0:00:11.799836,1,2147,0.137957
0:00:11.799836,2,2170,0.8231569999999999
0:00:11.799836,3,2149,0.101413
0:00:11.799836,4,2165,0.658709
0:00:11.799836,5,2191,1.467245
0:00:11.799836,6,2181,1.0195809999999998
0:00:12.287207,1,2147,0.137957
0:00:12.287207,2,2170,0.8551329999999999
0:00:12.287207,3,2149,0.101413
0:00:12.287207,4,2165,0.654141
0:00:12.287207,5,2191,1.5449009999999999
0:00:12.287207,6,2180,1.152053
0:00:12.770610,1,2147,0.14252499999999999
0:00:12.770610,2,2170,0.8916769999999999
0:00:12.770610,3,2149,0.110549
0:00:12.770610,4,2166,0.6998209999999999
0:00:12.770610,5,2191,1.604285
0:00:12.770610,6,2180,1.1063729999999998
0:00:13.450138,1,2147,0.15622899999999998
0:00:13.450138,2,2170,0.9419249999999998
0:00:13.450138,3,2149,0.110549
0:00:13.450138,4,2165,0.750069
0:00:13.450138,5,2191,1.6956449999999998
0:00:13.450138,6,2180,1.2890929999999998
0:00:13.935138,1,2148,0.147093
0:00:13.935138,2,2170,0.9739009999999998
0:00:13.935138,3,2148,0.115117
0:00:13.935138,4,2166,0.7729089999999998
0:00:13.935138,5,2191,1.773301
0:00:13.935138,6,2180,1.3621809999999999
0:00:14.431100,1,2148,0.147093
0:00:14.431100,2,2170,1.010445
0:00:14.431100,3,2149,0.115117
0:00:14.431100,4,2165,0.800317
0:00:14.431100,5,2191,1.8235489999999996
